"algo","setting","n","mean_y175","std_y175"
"ddpg","fully_corrective_base","3","4595.529117","169.180377"
"ddpg","fully_corrective_eps01","3","4718.493083","20.493902"
"ddpg","fully_corrective_eps05","3","4684.8234","32.649655"
"ddpg","fully_corrective_eps10","3","4653.925467","30.57777"
"ddpg","fully_corrective_eps20","3","4616.38005","65.345237"
"vpg","fully_corrective_base","2","4527.52285","22.978251"
"vpg","fully_corrective_eps01","2","4527.945","12.649111"
"vpg","fully_corrective_eps05","2","4511.80045","21.886069"
"vpg","fully_corrective_eps10","2","4499.6437","8.246211"
"vpg","fully_corrective_eps20","2","4523.4745","3.741657"
